Estonian;English;Progress
////Section:1;Hello!;0
ema, ema, ema;mother
nalja tegema, nalja teh/a, tee/n nalja;to joke
nõus olema, nõus ol/la, ole/n nõus;to agree
////Section:11;Get well soon!;0
elav järjekord;(live) queue
isiku/kood, isiku/koodi, isiku/koodi;ID code
isikut tõendav dokument, isikut tõendava dokumendi, isikut tõendavat dokumenti;document of ID
juhi/luba, juhi/loa, juhi/luba;driving licence
järje/kord, järje/korra,järje/korda;queue
kohutavalt;terribly
Mul on vaja.;I need.
muusika, muusika, muusikat;music
mõni, mõne, mõnd;any, some
on vaja;to need, is needed
registratuuri/töötaja, registratuuri/töötaja, registratuuri/töötajat;receptionist
silma/arst, silma/arsti, silma/arsti;eye doctor
silmaarsti juurde;to the eye doctor
vastu võtma, vastu võt/ta, võta/n vastu;to receive
allergia, allergia, allergiat;allergy
arsti juurde;to the doctor
esimesel veebruaril;on the first of February
kuuendal veebruaril;on the 6th of February
Kõik ajad on täis.;All the slots are full.
Meil on tarvis.;We need
Mikk-Martin, Mikk-Martini, Mikk-Martinit;Mikk-Martin (male name)
mägi, mäe, mäge;hill, mountain
oma, oma, oma;own, one's own, self-, my
pere/arst, pere/arsti, pere/arsti;General Practitioner
poja pärast;because of (my) son
asemel;in place of, instead of
haigus/puhkus, haigus/puhkuse, haigus/puhkust;sick leave
hommiku/poole;a.m., in the morning
kahekümne kolmandal aprillil;on the 23rd of April
kahekümne viiendal aprillil;on the 25th of April
kark, kargu, karku;crutch
kepp, kepi, keppi;stick
kirja panema, kirja pan/na, pane/n kirja;to note down, to take a note
pere/arsti/keskus, pere/arsti/keskuse, pere/arsti/keskust;General Practitioner's office
tema asemel;on his/her behalf
vastu/võtt, vastu/võtu,vastu/võttu;reception, admission
õhtu/poole;p.m., in the afternoon
haiget saama, haiget saa/da, saa/n haiget;to get hurt
kiir/abi, kiir/abi, kiir/abi;ambulance
Minu meelest mitte.;Not to my mind.
mitte;no, not
Ta ei ole teadvusel.;He/She is not conscious
teadvusel;concious
vastama, vasta/ta, vasta/n;to answer
verd jooksma, verd joosta, jookse/n verd;to bleed
välja saat/ma, välja saat/a, saada/n välja;to send out
haigus/leht, haigus/lehe,haigus/lehte;sick note
kaebama, kaeva/ta, kaeba/n;to complain
kolme päeva pärast;in three days time
Mille üle te kaebate?;What's bothering you?
Mul on paha olla.;I feel bad.
Mul on süda paha.;I feel nauseous
mäletama, mäleta/da, mäleta/n;to remember
palavik, palaviku, palavikku;fever
prillid;spectacles
põletik, põletiku, põletikku;infection
ravim, ravimi, ravimit;medicine
ravima, ravi/da, ravi/n;to cure
retsept, retsepti, retsepti;prescription, recipie
süda, südame, südant;heart
tagasi tulema, tagasi tul/la, tule/n tagasi;to come back, to return
tohtima, tohti/da, tohi/n;to be allowed to, may
tõsine, tõsise, tõsist;serious
analüüsid;tests
juhtuma, juhtu/da, juhtu/b;to happen
Mis juhtus?;What happened?
šokolaadi/allergia, šokolaadi/allergia, šokolaadi/allergiat;chocolate allergy
šokolaadi/komm, šokolaadi/kommi, šokolaadi/kommi;chocolate candy
terveks saama, terveks saa/da, saa/n terveks;to get well
vastused;answers
aeglaselt;slowly
hirmus, hirmsa, hirmsat;terrible, horrible
koma;comma
kopsud;lungs
kraadima, kraadi/da, kraadi/n;to take the temperature
kuum, kuuma, kuuma;hot
köha, köha, köha;cough
külmetama, külmeta/da, külmeta/n;to get a cold, to freeze
Ma kuulan kopse.;I'll listen to (your) lungs
Ma tunnen ennast nii halvasti.;I feel so bad
nohu, nohu, nohu;runny nose, rhinitis
paari päeva pärast;in few days time
puhas, puhta, puhast;clean
riidesse panema, riidesse pan/na, pane/n riidesse;to put one's clothes on
riidest lahti võtma, riidest lahti võt/ta, võta/n riidest lahti;to take one's clothes off
sisse hingama, sisse hinga/ta, hinga/n sisse;to breathe in
tundma, tund/a, tunne/n;to feel
tõe/näoliselt;probably, likely
viirus, viiruse, viirust;virus
vitamiin, vitamiini, vitamiini;vitamine
üle minema, üle min/na, lähe/b üle;to pass
ilmselt;apparently, probably
kiir/abi/arst, kiir/abi/arsti, kiir/abi/arsti;paramedic
kips, kipsi, kipsi;cast
kipsi panema, kipsi pan/na, pane/n kipsi;to put in cast
kolme nädala pärast;in three weeks time
Kust teil valutab?;Where does it hurt?
käe/luu, käe/luu, käe/luud;arm bone
käsi, käe, kätt;hand, arm
lamama, lama/da, lama/n;to lie, to stretch out
murd, murru, murdu;fraction
parem;better, right
pea/põrutus, pea/põrutuse, pea/põrutust;concussion
rohkem;more, over, further
röntgen, röntgeni, röntgenit;x-ray
saatma, saat/a, saada/n;to send
See ei võta kaua aega.;It won’t take long
siit;from here
süst, süsti, süsti;injection
valu/vaigisti, valu/vaigisti, valu/vaigistit;painkiller
apteeker, apteekri, apteekrit;pharmacist
hirmsasti;terribly, horribly
iga nelja tunni järel;after every four hours
silma/tilgad, silma/tilkade,silma/tilkasid;eye drops
tablett, tableti, tabletti;tablet, pill
enne sööki;before meals
info/leht, info/lehe, info/lehte;information sheet
karp, karbi, karpi;box, case
maitse, maitse, maitset;taste
nii … kui ka…;as well as
peale sööki;after meals
üks/kõik;all the same, never mind
allergoloog, allergoloogi, allergoloogi;allergologist
allergoloogi juurde;to the allergologist
arsti juures;at the doctor's
eriline, erilise, erilist;special
korras;in order, OK
Kõik on korras.;Everything is OK.
perearsti juures;at the GP
vaene, vaese, vaest;poor
Vaene laps!;Poor kid!
ega;nor
isu, isu, isu;appetite
keelama, keela/ta, keela/n;to forbid
lemmik/hamburger, lemmik/hamburgeri, lemmik/hamburgerit;favourite jamburger
midagi süüa;something to eat
murdma, murd/a, murra/n;to break, to fracture
uudis, uudise, uudist;news
äkki;maybe, suddenly
////Section:12;What does she look like?;0
Ats, Atsi, Atsi;Ats (male name)
eba/tavaline, eba/tavalise, eba/tavalist;extraordinary, unusual
Henri, Henri, Henrit;Henri (male name)
kasutaja/nimi, kasutaja/nime, kasutaja/nime;user name
kesk/eri/haridus, kesk/eri/hariduse, kesk/eri/haridust;vocational secondary education
korralik, korraliku, korralikku;good-natured, decent, respectable
loom, looma, looma;animal
mootor/ratas, mootor/ratta,mootor/ratast;motorbike
elu/koht, elu/koha, elu/kohta;place of residence
energiline, energilise, energilist;energetic
ette/võtja, ette/võtja, ette/võtjat;entrepreneur
hooliv, hooliva, hoolivat;caring
ingel , ingli, inglit;angel
juuksed;hair
kõrg/haridus, kõrg/hariduse, kõrg/haridust;university education
optimistlik, optimistliku,optimistlikku;optimistic
päris tore;quite a nice
sõbralik, sõbraliku, sõbralikku;friendly
valiv, valiva, valivat;picky
õnnetu, õnnetu, õnnetut;unhappy, miserable, sad
arg, ara, arga;cowardly
eba/sportlik, eba/sportliku,eba/sportlikku;not sporty
eba/viisakas, eba/viisaka, eba/viisakat;unpolite
Helen, Heleni, Helenit;Helen (female name)
ise/loom, ise/loomu, ise/loomu;character
julge, julge, julget;brave
kasutaja , kasutaja, kasutajat;user
korraks;for a second
laisk, laisa, laiska;lazy
Mis temaga on?;What about him?
naljakas, naljaka, naljakat;funny
nii/moodi;like this, this way
profiil, profiili, profiili;profile
rahulik, rahuliku, rahulikku;peaceful
rahutu, rahutu, rahutut;restless
rõõmus, rõõmsa, rõõmsat;happy, cheerful
sportlik, sportliku, sportlikku;sporty
tark, targa, tarka;clever, smart
töökas, tööka, töökat;hard-working
viisakas, viisaka, viisakat;polite
armuma, armu/da, armu/n;to fall in love
ette kujutama, ette kujuta/da, kujuta/n ette;to imagine
iga/sugune, iga/suguse, iga/sugust;every kind, all sorts of
kasv, kasvu, kasvu;height
katki minema, katki min/na, lähe/b katki;to break down
korda tegema, korda teh/a, tee/n korda;to fix, to repair
kuld, kulla, kulda;gold
kuldsete kätega;handy (lit with golden hands)
leidma, leid/a, leia/n;to find
Linda, Linda, Lindat;Linda (female name)
naeratus, naeratuse, naeratust;smile
Oh sind küll!;Oh, you!
paari minutiga;in a few minutes
pats, patsi, patsi;braid
pikka kasvu;of tall height
prillidega;with glasses
Ruslan, Ruslani, Ruslani;Ruslan (male name)
tegelema, tegele/da, tegele/n;to deal with, to be engaged in
Terje, Terje, Terjet;Terje (female name)
võistlus, võistluse, võistlust;competition
välja nägema, välja näh/a, näe/n välja;to look like
kompleks, kompleksi, kompleksi;complex
kontori/rott, kontori/roti,kontori/rotti;office mouse (lit office rat)
kõhn, kõhna, kõhna;thin, lean, skinny
meie/vanune, meie/vanuse, meie/vanust;of our age
närviline, närvilise, närvilist;nervous
paanika, paanika, paanikat;panic
paanikas olema, paanikas ol/la, ole/n paanikas;to be in panic
pea/aegu;almost
selguma, selgu/da, selgu/b;to turn out
tuttavaks tegema, tuttavaks teh/a, tee/n tuttavaks;to introduce
tüüpiline, tüüpilise, tüüpilist;typical
iga/tahes;anyhow
keeruline, keerulise, keerulist;complicated
nimeks panema, nimeks pan/na, pane/n nimeks;to name someone
printsess, printsessi, printsessi;princess
Riin, Riinu, Riinu;Riin (female name)
roheliste silmadega;with green eyes
siniste silmadega;with blue eyes
täna/päeval;nowadays
uudis/himulik, uudis/himuliku,uudis/himulikku;curious
blondiin, blondiini, blondiini;blonde
blondiini/anekdoot, blondiini/anekdoodi, blondiini/anekdooti;blonde joke
kella kolmeks;for three o'clock
kokku leppima, kokku leppi/da, lepi/n kokku;to make an appointment
kõige rohkem;at the most
kõige/pealt;first of all, first
lokk, loki, lokki;curl, lock
lokkis;curly
lokkis juustega;with curly hair
lõikama, lõiga/ta, lõika/n;to cut
lühemaks;shorter
Margarita, Margarita, Margaritat;Margarita (female name)
puna/pea, puna/pea, puna/pead;redhead
senti/meeter, senti/meetri, senti/meetrit;centimetre
soeng, soengu, soengut;hairdo, hairstyle
tagant;from behind
tantsu/saade, tantsu/saate, tantsu/saadet;dance show
tukk, tuka, tukka;fringe
vahelduseks;for a change
ära värvima, ära värvi/da, värvi/n ära;to dye, to colour, to paint
ettevaatlik, ettevaatliku,ettevaatlikku;careful
habe , habeme, habet;beard
habet ajama, habet aja/da, aja/n habet;to shave
Kas olete kindel?;Are you sure?
kiilakas, kiilaka, kiilakat;bald
Kuidas tundub?;How does it feel?
paljaks ajama, paljaks aja/da, aja/n paljaks;to shave off
paljas, palja, paljast;bald, naked
päikese käes;in the sun
tunduma, tundu/da, tundu/b;to feel
tunne, tunde, tunnet;feeling
täiesti kindel;completely sure
täitsa hea;Quite good
vunts , vuntsi, vuntsi;moustache (sing)
vuntsid;moustache (pl)
ära harjuma, ära harju/da, harju/n ära;to get used to
kasutama, kasuta/da, kasuta/n;to use
kauem;longer
keemilised lokid;permanent curls
palsam, palsami, palsamit;conditioner
poole lühemaks;half the length
päris ilus;quite pretty
saab tehtud;will do
////Section:13;My career;0
asi, asja, asja;thing
CV, CV, CV-d;CV
huvitama , huvita/da, huvita/b;to interest
lisa/info, lisa/info, lisa/infot;additional info
Mis teid huvitab?;What interests you?
"motivatsiooni/kiri, motivatsiooni/<span class=""red"">kirja, motivatsiooni/kirja</span>";cover letter
naiste/pesu, naiste/pesu, naiste/pesu;woman's lingerie
nali, nalja, nalja;joke
parim, parima, parimat;best
pesu, pesu, pesu;bedclothes, underwear
pesu/pood, pesu/poe, pesu/poodi;lingerie shop
voodi/pesu, voodi/pesu, voodi/pesu;bedclothes
aktsia/selts, aktsia/seltsi, aktsia/seltsi;PLC (public limited company)
haridust tõendav dokument, haridust tõendava dokumendi, haridust tõendavat dokumenti;certificate of education
katse/aeg, katse/aja, katse/aega;probationary period
kohta;about something
kuu alguses;in the beginning of the month
on kirjas;is written
pagar, pagari, pagarit;baker
palga/päev, palga/päeva, palga/päeva;payday
palk, palga, palka;salary
puhkus, puhkuse, puhkust;holiday, vacation
päts, pätsi, pätsi;loaf
püha, püha, püha;holiday
riiklik, riikliku, riiklikku;national, state
riiklikel pühadel;on bank holidays
saia/vabrik, saia/vabriku, saia/vabrikut;bakery
suurim, suurima, suurimat;biggest
töö kohta;about the job
töö/koht, töö/koha, töö/kohta;position
töö/kuulutus, töö/kuulutuse, töö/kuulutust;advertisement
vahetus, vahetuse, vahetust;shift
vajama, vaja/da, vaja/n;to need
öine, öise, öist;nighttime
öises vahetuses;in the night shift
graafik, graafiku, graafikut;rotation
graafiku alusel;on rotation
keskmine, keskmise, keskmist;average
koolitus, koolituse, koolitust;training
liblikas, liblika, liblikat;butterfly
liblikat ujuma;to do the butterfly stroke
massöör, massööri, massööri;masseur
mul on kõik olemas;I have everything
oluline, olulise, olulist;important
pole;do not, does not, don’t, doesn’t, haven’t, have not
soodustus, soodustuse, soodustust;perk, advantage
spordi/saal, spordi/saali, spordi/saali;gym
sõltuma, sõltu/da, sõltu/n;to depend
töö/kogemus, töö/kogemuse, töö/kogemust;work experience
ujula, ujula, ujulat;swimming pool
diplom, diplomi, diplomit;diploma
eri/ala, eri/ala, eri/ala;speciality
füüsiliselt;physically
kohal olema, kohal ol/la, ole/n kohal;to be there
kohale tulema, kohale tul/la, tule/n kohale;to come
kommi/vabrik, kommi/vabriku, kommi/vabrikut;sweet factory
kutse/kool, kutse/kooli, kutse/kooli;vocational school
leping, lepingu, lepingut;contract
meister, meistri, meistrit;supervisor
pole päris see;that's not quite the same
põhiline, põhilise, põhilist;main, most important
selgeks õpetama, selgeks õpeta/da, õpeta/n selgeks;to teach
suhtumine, suhtumise, suhtumist;attitude
tingimus, tingimuse, tingimust;condition
töö/võte, töö/võtte, töö/võtet;working principle
tööle võtma, tööle võt/ta, võta/n tööle;to hire
vastu/pidav, vastu/pidava, vastu/pidavat;durable, fit
viisteist minutit varem;fifteen minutes earlier
üheks kuuks;for one month
amet, ameti, ametit;profession
enne;before
enne seda;before that
hakkama saama, hakkama saa/da, saa/n hakkama;to manage
igal pool;everywhere
India, India, Indiat;India
Kui kaua?;For how long?
kursus, kursuse, kursust;course
salong, salongi, salongi;salon
sisustus, sisustuse, sisustust;furnishing
Tai, Tai, Taid;Thailand
teada andma, teada and/a, anna/n teada;to let someone know
tihti;often
toimuma, toimu/da, toimu/b;to take place
tule/tõrjuja, tule/tõrjuja, tule/tõrjujat;firefighter
turva/mees, turva/mehe, turva/meest;security guard
tõsiselt;really
täiesti;totally, fully
täiesti vabalt;completely fluently
uhke, uhke, uhket;plush, cool, gorgeous
vetel/päästja, vetel/päästja, vetel/päästjat;lifeguard
välis/maa, välis/maa, välis/maad;abroad, foreign country
välis/maalane, välis/maalase, välis/maalast;foreigner
elekter, elektri, elektrit;electricity
katki tegema, katki teh/a, tee/n katki;to break
laskma, las/ta, lase/n;to let
lõpp, lõpu, lõppu;end
nupp, nupu, nuppu;button
pilv, pilve, pilve;cloud
rikkis;broken
sisse lülitama, sisse lülita/da, lülita/n sisse;to swith on
tsehh, tsehhi, tsehhi;section, department
tuli, tule, tuld;light, fire
tuttav, tuttava, tuttavat;familiar
töö/päeva lõpus;at the end of the workday
vaevalt küll;hardly
välja lülitama, välja lülita/da, lülita/n välja;to turn off
ära kustutama, ära kustuta/da, kustuta/n ära;to swith off
ära minema, ära min/na, lähe/b ära;to go off
ei ole hullu;it's OK
kliendi/info, kliendi/info, kliendi/infot;information about clients
klõpsima, klõpsi/da, klõpsi/n;to click
käte/rätik, käte/rätiku, käte/rätikut;towel
läheb aega;takes time
masin, masina, masinat;equipment, machine
milline, millise, millist;what a
muusika/keskus, muusika/keskuse, muusika/keskust;stereo system
padi, padja, patja;pillow
programm, programmi, programmi;programme
põlema pane/ma, põlema pan/na, pane/n põlema;to switch on (the light)
radiaator, radiaatori, radiaatorit;radiator
remont, remondi, remonti;repairment
segi minema, segi min/na, lähe/b segi;to confuse, to mix
tekk, teki, tekki;blanket, quilt
vahetustega;in shifts
vinge, vinge, vinget;cool
ära parandama, ära paranda/da, paranda/n ära;to fix, to repair
////Section:14;Cooking food;0
hapu/kurk, hapu/kurgi,hapu/kurki;gherkin
kilo, kilo, kilo;kilo
korjama, korja/ta, korja/n;to pick
kuke/seen, kuke/seene, kuke/seent;chantarelle
maasikas, maasika, maasikat;strawberry
maksan sibulate eest;I pay for the onins
pange mõlemaid;put both
poolteist kilo;a kilo and a half
Päris head jah!;Quite nice indeed!
tagasi andma, tagasi and/a, anna/n tagasi;to give back (change)
turu/müüja, turu/müüja, turu/müüjat;seller (at the market)
vaarikas, vaarika, vaarikat;raspberry
viie/kümne/eurone, viie/kümne/eurose, viie/kümne/eurost;fifty euro note
kast, kasti, kasti;a box
kile/kott, kile/koti, kile/kotti;plastic bag
kott hapusid õunu;a bag of sour apples
Kumba sorti?;Which sort?
mari, marja, marja;berry
paras raha;exact change
soodne, soodsa, soodsat;favorable
sort, sordi, sorti;sort
sõstar, sõstra, sõstart;currant
ananassi/konserv, ananassi/konservi, ananassi/konservi;tinned pineapple
jahu, jahu, jahu;flour
kott piima;a (plastic) container of milk
pärm, pärmi, pärmi;yeast
tükk, tüki, tükki;piece
õli, õli, õli;oil
detsi/liiter, detsi/liitri, detsi/liitrit;decilitre
gramm, grammi, grammi;gram
järelikult;so, therefore
korralikult;thoroughly
lisama, lisa/da, lisa/n;to add
male , male, malet;chess
malet mängima, malet mängi/da, mängi/n malet;to play chess
milli/liiter, milli/liitri, milli/liitrit;millilitre
Mis edasi?;What next?
pitsa/tainas, pitsa/taina, pitsa/tainast;pizza dough
segama, sega/da, sega/n;to mix
singi/pitsa, singi/pitsa, singi/pitsat;ham pizza
sõtkuma, sõtku/da, sõtku/n;to knead
tainas, taina, tainast;dough
üle/jäänud;the rest
küpsetama, küpseta/da, küpseta/n;to bake, to roast
määrima, määri/da, määri/n;to spread
nuga, noa, nuga;knife
Oh sa poiss!;Oh boy!
partii, partii, partiid;a set
riivitud;grated
rullima, rulli/da, rulli/n;to roll
tükkideks lõikama, tükkideks lõiga/ta,lõika/n tükkideks;to cut into pieces
Vaeseke!;Poor you!
võitma, võit/a, võida/n;to win
õhukeseks rullima, õhukeseks rulli/da, rulli/n õhukeseks;to roll thin
aed/vili, aed/vilja, aed/vilja;vegetable
keema ajama, keema aja/da, aja/n keema;to bring to boil
kloppima, kloppi/da, klopi/n;to whisk
kraam, kraami, kraami;stuff
kuivik, kuiviku, kuivikut;crouton
kuumutama, kuumuta/da, kuumuta/n;to heat
on olemas;there is
on otsas;to be out of something
piima-aed/vilja/supp, piima-aed/vilja/supi, piima-aed/vilja/suppi;vegetable soup wih milk
põhi/mõtteliselt;in principle
saia/kuivik, saia/kuiviku, saia/kuivikut;crouton
serveerima, serveeri/da, serveeri/n;to serve
sulatatud;melted
supp, supi, suppi;soup
till, tilli, tilli;dillweed
värske kraam;fresh stuff
õlle/supp, õlle/supi, õlle/suppi;beer soup
koorima, koori/da, koori/n puhtaks;to peel
pehmeks keetma, pehmeks keet/a, keeda/n pehmeks;to boil until tender
puhtaks pesema, puhtaks pes/ta, pese/n puhtaks;to wash clean
////Section:15;Invitations;0
Eneli, Eneli, Enelit;Eneli (female name)
Kaspar, Kaspari, Kasparit;Kaspar (male name)
kaugel;far away
kuskile;somewhere
kõlab hästi;sounds good
mees/koor, mees/koori, mees/koori;male choir
pilet, pileti, piletit;ticket
aru/saadav, aru/saadava, aru/saadavat;understandable
ehk;maybe
hoolitsema … eest, hoolitse/da … eest, hoolitse/n … eest;to take care of …
keegi, kellegi, kedagi;someone
muretsema … pärast, muretse/da … pärast, muretse/n … pärast;to worry about …
mõni teine kord;some other time
ruttu;fast, soon
välja minema, välja min/na, lähe/n välja;to go out
bänd, bändi, bändi;band
Heiki, Heiki, Heikit;Heiki (male name)
koori/muusika, koori/muusika, koori/muusikat;choir music
linna/orkester, linna/orkestri, linna/orkestrit;town orchestra
maha müüma, maha müü/a, müü/n maha;to sell
mitte keegi, mitte kellegi, mitte kedagi;no one
okei;OK
on üle;spare, is over
pakkumine, pakkumise, pakkumist;offer
peale käima, peale käi/a, käi/n peale;harrass, insist
šeff, šefi, šeffi;cool
välis/maa oma;of foreign origin
ära unustama, ära unusta/da, unusta/n ära;to forget
film, filmi, filmi;film
hilisem, hilisema, hilisemat;later
kuskil;somewhere
loomulikult;naturally
peal/kiri, peal/kirja, peal/kirja;title, headline
pileti/müüja, pileti/müüja, pileti/müüjat;box office assistant
rida, rea, rida;row
seanss, seansi, seanssi;show (inthe cinema)
see/sama, selle/sama, seda/sama;this one
sula/raha, sula/raha, sula/raha;cash
taga/pool;rear, back
Tervist!;Hello!
hakkab paistma;starts to show
kooli/maja, kooli/maja, kooli/maja;shchool buliding
kõige kiiremini;fastest
maha tulema, maha tul/la, tule/n maha;to get off
Marta, Marta, Martat;Marta (female name)
mööda;by, along, past
pagan, pagana, paganat;devil
paremat kätt;on the right hand side
Paul, Pauli, Pauli;Paul (male name)
peatus, peatuse, peatust;stop, bus stop
pöörama, pööra/ta, pööra/n;to turn
ristmik, ristmiku, ristmikku;crossing
silma/pilk, silma/pilgu,silma/pilku;instantly, at once
sisse magama, sisse maga/da, maga/n sisse;to sleep in
suusa/keskus, suusa/keskuse, suusa/keskust;ski centre
suusatama, suusata/da, suusata/n;to ski
suusk, suusa, suuska;ski
üle;over, accross
bussi peale istuma, bussi peale istu/da, istu/n bussi peale;to get on a bus
kaas/reisija, kaas/reisija, kaas/reisijat;co-passanger
kelgu/mägi, kelgu/mäe, kelgu/mäge;sledging slope
maha minema, maha min/na, lähe/n maha;to get off
suunal;in direction
suund, suuna, suunda;direction
vale , vale, valet;wrong
valele poole;to the wrong direction
väljuma, välju/da, välju/n;to get off
asfalt, asfaldi, asfalti;asphalt
asfalt/tee, asfalt/tee, asfalt/teed;asphalt road
hobune, hobuse, hobust;horse
Kai, Kai, Kaid;Kai (female name)
kruus, kruusa, kruusa;gravel
kruusa/tee, kruusa/tee, kruusa/teed;gravel road
Kummale poole?;To which direction?
paremal pool;on the right
peaaegu;almost
post/kast, post/kasti, post/kasti;mailbox
põld, põllu, põldu;field
sild, silla, silda;bridge
vasakut kätt;on the left hand side
väljas;outside
ära eksima, ära eksi/da, eksi/n ära;to get lost
edasi;further
jala;by foot
kohalik, kohaliku, kohalikku;local (person)
kuju, kuju, kuju;statue
kuningas, kuninga, kuningat;king
mööda minema, mööda min/na, lähe/n mööda;go past
pärast seda;after that
see/järel;after that
seletama, seleta/da, seleta/n;to explain
sellegi/poolest;anyway
siin/samas;right here
valgus/foor, valgus/foori, valgus/foori;traffic lights
////Section:16;Congratulations!;0
abielluma, abiellu/da, abiellu/n;to marry
Häid pühi!;Happy Holidays!
Ilusaid pühi!;Happy Holidays!
jõulu/vana, jõulu/vana, jõulu/vana;Santa Claus
kadri/päev, kadri/päeva, kadri/päeva;St Catherine's Day
kingitus, kingituse, kingitust;present, gift
kinkima, kinki/da, kingi/n;to give, to present
kohtuma, kohtu/da, kohtu/n;to meet
kuduma, kudu/da, koo/n;to knit
nalja/mees, nalja/mehe, nalja/meest;joker
nõu küsima, nõu küsida, küsi/n nõu;to ask for advice
närvis olema, närvis ol/la, ole/n närvis;to be nervous
Palju õnne!;Congratulations!
praktiline, praktilise, praktilist;practical
pulmad;wedding
pähe õppima, pähe õppi/da, õpi/n pähe;to learn by heart
päka/pikk, päka/piku, päka/pikku;Santa's helper
tutvustama, tutvusta/da, tutvusta/n;to introduce
venna/laps, venna/lapse, venna/last;nephew, niece
villane, villase, villast;woollen
ära kuluma, ära kulu/da, kulu/b ära;to be of use
aasta/päev, aasta/päeva, aasta/päeva;anniversary
Appikene!;Oh dear me!
haridus/minister, haridus/ministri, haridus/ministrit;Minister of Education
Head vabariigi aastapäeva!;Happy Independance Day!
kaitse/minister, kaitse/ministri, kaitse/ministrit;Minister of Defence
kaitse/vägi, kaitse/väe, kaitse/väge;military
kultuuri/minister, kultuuri/ministri, kultuuri/ministrit;Minister of Culture
marssima, marssi/da, marsi/n;to march
minu arvates;to my mind
Olge kuss!;Be quiet!
paraad, paraadi, paraadi;parade
poliitik, poliitiku, poliitikut;politician
president, presidendi,presidenti;president
Pssst!;Hush!
rahvas, rahva, rahvast;people, nation, folk
sotsiaal/minister, sotsiaal/ministri, sotsiaal/ministrit;Minister of Social Affairs
tank, tanki, tanki;tank
Tasa!;Be quiet!
telekas, teleka, telekat;TV (slang)
täielik, täieliku, täielikku;total
vaba/riik, vaba/riigi,vaba/riiki;republic
vaidlema, vaiel/da, vaidle/n;to argue
välja ütlema, välja ütel/da, ütle/n välja;to say out loud
öö/särk, öö/särgi, öö/särki;nightgown
absoluutselt;really, absolutely
grillima, grilli/da, grilli/n;to barbeque
jaani/päev, jaani/päeva, jaani/päeva;Midsummer's day
julgesti;baldly
juttu ajama, juttu aja/da, aja/n juttu;to chat
laulu/pidu, laulu/peo, laulu/pidu;song festival
loodetavasti;hopefully
maale minema, maale min/na, lähe/n maale;to go to the countryside
Maksim, Maksimi, Maksimi;Maksim (male name)
muudkui;only, nothing but
saunas käima, saunas käi/a, käi/n saunas;to go to sauna
teised;others
traditsioon, traditsiooni, traditsiooni;tradition
õues istuma, õues istu/da, istu/n õues;to sit outside
////Section:17;Miscellaneous;0
abi/kaasa, abi/kaasa, abi/kaasat;spouse
aeglane, aeglase, aeglast;slow
ahi, ahju, ahju;stove, oven
aia/pidaja, aia/pidaja, aia/pidajat;garden keeper
Aleksander, Aleksandri, Aleksandrit;Aleksander (male name)
Aleksandra, Aleksandra, Aleksandrat;Aleksandra (female name)
Anastassia, Anastassia, Anastassiat;Anastassia (female name)
andeks andma, andeks and/a, anna/n andeks;to forgive
Andrus, Andruse, Andrust;Andrus (male name)
Anneli, Anneli, Annelit;Anneli (female name)
aprill, aprilli, aprilli;April
apteek, apteegi, apteeki;pharmacy
arbuus, arbuusi, arbuusi;watermelon
arm, armi, armi;scar
aru saama, aru saa/da, saa/n aru;to understand
Arvo, Arvo, Arvot;Arvo (male name)
au/hind, au/hinna, au/hinda;prize
august, augusti, augustit;August
auk, augu, auku;hole
austatud;honoured
auto, auto, autot;car
autot juhtima, autot juhti/da, juhi/n autot;to drive a car
avaldus, avalduse, avaldust;application
bensiini/jaam, bensiini/jaama, bensiini/jaama;petrol station
Berliin, Berliini, Berliini;Berlin
buss, bussi, bussi;bus
bussi/jaam, bussi/jaama, bussi/jaama;bus station
bussi/juht, bussi/juhi,bussi/juhti;bus driver
büroo/tarvete pood, büroo/tarvete poe,büroo/tarvete poodi;stationery shop
detsember, detsembri, detsembrit;December
diivan, diivani, diivanit;sofa
disko, disko, diskot;disco
doktor, doktori, doktorit;doctor
dokument, dokumendi, dokumenti;document
edel, edela, edelat;southwest
edela/tuul, edela/tuule, edela/tuult;southwestern wind
Edela-Eesti, Edela-Eesti, Edela-Eestit;southwestern Estonia
Eerik, Eeriku, Eerikut;Eerik (male name)
ees;in front
eile;yesterday
elektrik, elektriku, elektrikku;electrician
elektroonika/kauplus, elektroonika/kaupluse, elektroonika/kauplust;electronics shop
elevant, elevandi, elevanti;elephant
elu/kaaslane, elu/kaaslase, elu/kaaslast;partner
Ene, Ene, Enet;Ene (female name)
era/maa, era/maa, era/maad;private land
esimene, esimese, esimest;first
esmas/päev, esmas/päeva, esmas/päeva;Monday
Esmaspäevani!;Till Monday!
Eve, Eve, Evet;Eve (female name)
foto/pood, foto/poe, foto/poodi;photography shop
fotograaf, fotograafi, fotograafi;photographer
füüsilisest isikust ette/võtja, füüsilisest isikust ette/võtja, füüsilisest isikust ette/võtjat;self-employed
Georg, Georgi, Georgit;Georg (male name)
Haanja, Haanja, Haanjat;Haanja (Estonian place name)
Haapsalu, Haapsalu, Haapsalu;Haapsalu (Estonian place name)
Haaslava, Haaslava, Haaslava;Haaslava (Estonian place name)
habeme/ajamis/masin, habeme/ajamis/masina, habeme/ajamis/masinat;electric shaver
habeme/ajamis/vaht, habeme/ajamis/vahu, habeme/ajamis/vahtu;shaving foam
haige;sick, ill
haigla, haigla, haiglat;hospital
